,name,h5_index,h5_median,url_citations,comment
1,Nature,467,707,/citations?hl=en&vq=en&view_op=list_hcore&venue=H--JoiVp8x8J.2023,
2,The New England Journal of Medicine,439,876,/citations?hl=en&vq=en&view_op=list_hcore&venue=NR7xTEnpNgsJ.2023,
3,Science,424,665,/citations?hl=en&vq=en&view_op=list_hcore&venue=s_R-R8xbGUcJ.2023,
4,IEEE/CVF Conference on Computer Vision and Pattern Recognition,422,681,/citations?hl=en&vq=en&view_op=list_hcore&venue=FXe-a9w0eycJ.2023,
5,The Lancet,368,688,/citations?hl=en&vq=en&view_op=list_hcore&venue=dj7TIF9zE7gJ.2023,
6,Nature Communications,349,456,/citations?hl=en&vq=en&view_op=list_hcore&venue=m_DUlvLcyY0J.2023,
7,Advanced Materials,326,415,/citations?hl=en&vq=en&view_op=list_hcore&venue=iGi98NXoUDsJ.2023,
8,Cell,316,503,/citations?hl=en&vq=en&view_op=list_hcore&venue=VlyKmNJzCgkJ.2023,
9,Neural Information Processing Systems,309,503,/citations?hl=en&vq=en&view_op=list_hcore&venue=eqYFflc_uhEJ.2023,
10,International Conference on Learning Representations,303,563,/citations?hl=en&vq=en&view_op=list_hcore&venue=0032SoU2xY4J.2023,
11,JAMA,286,476,/citations?hl=en&vq=en&view_op=list_hcore&venue=OmPdUD0HxiAJ.2023,
12,Science of The Total Environment,273,375,/citations?hl=en&vq=en&view_op=list_hcore&venue=zHYLxfa9svsJ.2023,
13,Nature Medicine,268,459,/citations?hl=en&vq=en&view_op=list_hcore&venue=yXgDGIh3w10J.2023,
14,Proceedings of the National Academy of Sciences,268,394,/citations?hl=en&vq=en&view_op=list_hcore&venue=5RY_PS94Oc4J.2023,
15,Angewandte Chemie International Edition,266,362,/citations?hl=en&vq=en&view_op=list_hcore&venue=kGPhuITsJjEJ.2023,
16,Chemical Reviews,264,459,/citations?hl=en&vq=en&view_op=list_hcore&venue=MzBRZZcuwa0J.2023,
17,International Conference on Machine Learning,254,463,/citations?hl=en&vq=en&view_op=list_hcore&venue=wL2oxc9mT4YJ.2023,
18,Chemical Society Reviews,248,390,/citations?hl=en&vq=en&view_op=list_hcore&venue=8J7ybE69eSgJ.2023,
19,Journal of Cleaner Production,246,321,/citations?hl=en&vq=en&view_op=list_hcore&venue=tYeMgWz27P4J.2023,
20,Nucleic Acids Research,238,539,/citations?hl=en&vq=en&view_op=list_hcore&venue=R9lVUK9iDeEJ.2023,
21,European Conference on Computer Vision,238,390,/citations?hl=en&vq=en&view_op=list_hcore&venue=cwIh2C-xo8kJ.2023,
22,Advanced Energy Materials,236,312,/citations?hl=en&vq=en&view_op=list_hcore&venue=w0MXM7xwO6EJ.2023,
23,Journal of the American Chemical Society,235,321,/citations?hl=en&vq=en&view_op=list_hcore&venue=SwzcHesTay8J.2023,
24,IEEE Access,233,350,/citations?hl=en&vq=en&view_op=list_hcore&venue=ccvNpBuUinsJ.2023,
25,Advanced Functional Materials,230,312,/citations?hl=en&vq=en&view_op=list_hcore&venue=49-WwfyYHmkJ.2023,
26,IEEE/CVF International Conference on Computer Vision,228,366,/citations?hl=en&vq=en&view_op=list_hcore&venue=Umlb1kMURG4J.2023,
27,Renewable and Sustainable Energy Reviews,226,303,/citations?hl=en&vq=en&view_op=list_hcore&venue=ZSbkjLcARiEJ.2023,
28,ACS Nano,220,290,/citations?hl=en&vq=en&view_op=list_hcore&venue=a9bp_yfgXwYJ.2023,
29,BMJ,218,356,/citations?hl=en&vq=en&view_op=list_hcore&venue=aUkdNLROwn8J.2023,
30,Physical Review Letters,216,301,/citations?hl=en&vq=en&view_op=list_hcore&venue=k6hd2dUel5kJ.2023,
31,International Journal of Molecular Sciences,215,305,/citations?hl=en&vq=en&view_op=list_hcore&venue=YlxNGrUs9ywJ.2023,
32,Journal of Clinical Oncology,213,307,/citations?hl=en&vq=en&view_op=list_hcore&venue=ecHF5oQilegJ.2023,
33,AAAI Conference on Artificial Intelligence,212,344,/citations?hl=en&vq=en&view_op=list_hcore&venue=PV9sQN5dnPsJ.2023,
34,Science Advances,212,306,/citations?hl=en&vq=en&view_op=list_hcore&venue=uRVHi5s806MJ.2023,
35,PLoS ONE,212,294,/citations?hl=en&vq=en&view_op=list_hcore&venue=F3lYEBtxq6EJ.2023,
36,Frontiers in Immunology,212,286,/citations?hl=en&vq=en&view_op=list_hcore&venue=7vpXVsi1JBIJ.2023,
